episode,reward,steps,success,epsilon
0,-49.3000,999,0,1.00000
1,-49.8250,999,0,0.99900
2,-50.0500,999,0,0.99800
3,-49.2500,999,0,0.99700
4,-50.3250,999,0,0.99601
5,-50.1250,999,0,0.99501
6,-49.5250,999,0,0.99401
7,-48.7750,999,0,0.99302
8,-50.1000,999,0,0.99203
9,-50.2750,999,0,0.99104
10,-47.5500,999,0,0.99004
11,-49.5000,999,0,0.98905
12,-45.6000,999,0,0.98807
13,-49.2000,999,0,0.98708
14,-49.3000,999,0,0.98609
15,-50.5000,999,0,0.98510
16,-49.0000,999,0,0.98412
17,-48.5250,999,0,0.98314
18,-50.4250,999,0,0.98215
19,-48.3750,999,0,0.98117
20,-50.3750,999,0,0.98019
21,-48.3500,999,0,0.97921
22,-49.1000,999,0,0.97823
23,-49.8500,999,0,0.97725
24,-49.0000,999,0,0.97627
25,-48.9250,999,0,0.97530
26,-47.9000,999,0,0.97432
27,-49.2500,999,0,0.97335
28,-49.2250,999,0,0.97237
29,-47.8750,999,0,0.97140
30,-49.4250,999,0,0.97043
31,-50.1750,999,0,0.96946
32,-49.8500,999,0,0.96849
33,-47.9750,999,0,0.96752
34,-46.4500,999,0,0.96656
35,-46.4500,999,0,0.96559
36,-47.0750,999,0,0.96462
37,-46.3000,999,0,0.96366
38,-48.0750,999,0,0.96269
39,-46.2750,999,0,0.96173
40,-47.6750,999,0,0.96077
41,-46.7500,999,0,0.95981
42,-50.4250,999,0,0.95885
43,-47.3000,999,0,0.95789
44,-48.5750,999,0,0.95693
45,-47.7500,999,0,0.95598
46,-47.1250,999,0,0.95502
47,-45.4250,999,0,0.95406
48,-48.0000,999,0,0.95311
49,-48.4500,999,0,0.95216
50,-45.6500,999,0,0.95121
51,-47.5500,999,0,0.95025
52,-49.2500,999,0,0.94930
53,-47.0500,999,0,0.94835
54,-48.0250,999,0,0.94741
55,-46.4500,999,0,0.94646
56,-46.7750,999,0,0.94551
57,-46.3750,999,0,0.94457
58,-48.0250,999,0,0.94362
59,-48.1750,999,0,0.94268
60,-44.7000,999,0,0.94174
61,-46.3250,999,0,0.94079
62,-49.1750,999,0,0.93985
63,-47.1000,999,0,0.93891
64,-49.0500,999,0,0.93797
65,-45.2250,999,0,0.93704
66,-44.4750,999,0,0.93610
67,-46.1750,999,0,0.93516
68,-46.1750,999,0,0.93423
69,-45.3750,999,0,0.93329
70,-46.1750,999,0,0.93236
71,-48.1500,999,0,0.93143
72,-46.8000,999,0,0.93050
73,-44.2750,999,0,0.92957
74,-45.8000,999,0,0.92864
75,-46.7500,999,0,0.92771
76,-44.9250,999,0,0.92678
77,-46.5750,999,0,0.92585
