episode,reward,steps,success,epsilon
0,-51.6500,999,0,1.00000
1,-51.0500,999,0,0.99900
2,-49.5250,999,0,0.99800
3,-49.9500,999,0,0.99700
4,-49.5750,999,0,0.99601
5,-49.7500,999,0,0.99501
6,-50.3250,999,0,0.99401
7,-49.1500,999,0,0.99302
8,-48.2000,999,0,0.99203
9,-50.2000,999,0,0.99104
10,-47.8000,999,0,0.99004
11,-48.0250,999,0,0.98905
12,-50.5250,999,0,0.98807
13,-47.3500,999,0,0.98708
14,-49.3500,999,0,0.98609
15,-47.5000,999,0,0.98510
16,-46.9750,999,0,0.98412
17,-49.1000,999,0,0.98314
18,-47.2500,999,0,0.98215
19,-49.8000,999,0,0.98117
20,-48.7250,999,0,0.98019
21,-47.9250,999,0,0.97921
22,-46.5500,999,0,0.97823
23,-49.7750,999,0,0.97725
24,-49.1000,999,0,0.97627
25,-49.3750,999,0,0.97530
26,-49.8000,999,0,0.97432
27,-47.7500,999,0,0.97335
28,-50.0500,999,0,0.97237
29,-48.2250,999,0,0.97140
30,-48.5750,999,0,0.97043
31,-47.9500,999,0,0.96946
32,-49.4750,999,0,0.96849
33,-48.2750,999,0,0.96752
34,-48.3000,999,0,0.96656
35,-49.1750,999,0,0.96559
36,-46.7750,999,0,0.96462
37,-46.4750,999,0,0.96366
38,-48.2750,999,0,0.96269
39,-49.3500,999,0,0.96173
40,-48.3750,999,0,0.96077
41,-47.5750,999,0,0.95981
42,-48.3000,999,0,0.95885
43,-46.1500,999,0,0.95789
44,-48.5000,999,0,0.95693
45,-46.9750,999,0,0.95598
46,-44.9250,999,0,0.95502
47,-46.3500,999,0,0.95406
48,-46.7000,999,0,0.95311
49,-48.8750,999,0,0.95216
50,-48.1000,999,0,0.95121
51,-48.4750,999,0,0.95025
52,-47.1500,999,0,0.94930
53,-47.6750,999,0,0.94835
54,-50.5250,999,0,0.94741
55,-47.7750,999,0,0.94646
56,-48.7750,999,0,0.94551
57,-47.7250,999,0,0.94457
58,-48.4000,999,0,0.94362
59,-47.4500,999,0,0.94268
60,-47.0250,999,0,0.94174
61,-48.2500,999,0,0.94079
62,-45.3750,999,0,0.93985
63,-48.0000,999,0,0.93891
64,-46.6500,999,0,0.93797
65,-47.3250,999,0,0.93704
66,-47.8000,999,0,0.93610
67,-48.1500,999,0,0.93516
68,-46.0500,999,0,0.93423
69,-48.2250,999,0,0.93329
70,-46.3500,999,0,0.93236
71,-46.0750,999,0,0.93143
72,-45.2500,999,0,0.93050
73,-45.8250,999,0,0.92957
74,-45.0000,999,0,0.92864
75,-44.0500,999,0,0.92771
76,-45.3750,999,0,0.92678
77,-46.3250,999,0,0.92585
78,-46.0500,999,0,0.92493
79,-47.5500,999,0,0.92400
80,-43.7000,999,0,0.92308
81,-46.4750,999,0,0.92216
82,-47.2000,999,0,0.92123
83,-47.0500,999,0,0.92031
84,-46.1500,999,0,0.91939
85,-45.6250,999,0,0.91847
86,-45.2250,999,0,0.91755
87,-44.6000,999,0,0.91664
88,-44.8750,999,0,0.91572
89,-47.1750,999,0,0.91480
90,-45.9250,999,0,0.91389
91,-44.0000,999,0,0.91298
92,-44.4500,999,0,0.91206
93,-46.7750,999,0,0.91115
94,-44.2750,999,0,0.91024
95,-44.0750,999,0,0.90933
